num syllables,stage,time (s),approx number transitions
1,1,0.006285,4
1,2,0.14227,6
1,3,0.008992,6
1,4,0.010667,193
1,5,0.190003,21
1,6,0.008811,21
1,7,0.065961,68
1,8,0.009447,5
2,1,0.005811,4
2,2,0.137062,9
2,3,0.009085,9
2,4,0.012188,353
2,5,0.331083,13786
2,6,0.086372,13786
2,7,0.247774,30226
2,8,0.076691,30
3,1,0.006098,5
3,2,0.127375,12
3,3,0.009214,12
3,4,0.012576,486
3,5,0.519855,30343
3,6,0.179373,30343
3,7,0.334999,38006
3,8,0.125581,30
4,1,0.005971,5
4,2,0.134372,15
4,3,0.009469,15
4,4,0.012117,646
4,5,0.822703,55565
4,6,0.267351,55565
4,7,0.710492,78291
4,8,0.181072,30
5,1,0.005058,6
5,2,0.122477,18
5,3,0.011121,18
5,4,0.013884,779
5,5,0.891056,82070
5,6,0.378424,82070
5,7,0.996246,86245
5,8,0.268609,30
6,1,0.005307,6
6,2,0.123588,21
6,3,0.008763,21
6,4,0.01104,939
6,5,0.97035,107292
6,6,0.502023,107292
6,7,1.38036,126066
6,8,0.360391,30
7,1,0.005327,7
7,2,0.104925,24
7,3,0.008705,24
7,4,0.011819,1072
7,5,1.148175,133797
7,6,0.617882,133797
7,7,1.642075,134086
7,8,0.578549,30
8,1,0.00555,7
8,2,0.11702,27
8,3,0.008899,27
8,4,0.012859,1232
8,5,1.574806,159019
8,6,0.89409,159019
8,7,2.315753,173907
8,8,0.796793,30
9,1,0.005408,8
9,2,0.103875,30
9,3,0.010361,30
9,4,0.012854,1365
9,5,1.60124,185524
9,6,1.251366,185524
9,7,2.541595,181927
9,8,0.153729,30
10,1,0.0057,8
10,2,0.176046,33
10,3,0.009393,33
10,4,0.01563,1525
10,5,1.862198,210746
10,6,0.976926,210746
10,7,2.787432,221748
10,8,1.249312,27
11,1,0.005245,9
11,2,0.108627,36
11,3,0.008857,36
11,4,0.014451,1658
11,5,2.193387,237251
11,6,1.373731,237251
11,7,3.262746,229768
11,8,1.360751,8
12,1,0.005017,9
12,2,0.108844,39
12,3,0.009629,39
12,4,0.015103,1818
12,5,2.16712,262473
12,6,1.238555,262473
12,7,3.522617,269589
12,8,1.338432,17
13,1,0.005122,10
13,2,0.110323,42
13,3,0.009147,42
13,4,0.014784,1951
13,5,2.720563,288978
13,6,1.923369,288978
13,7,4.284177,277609
13,8,1.353311,5
14,1,0.005309,10
14,2,0.110584,45
14,3,0.008896,45
14,4,0.01471,2111
14,5,2.446627,314200
14,6,1.468174,314200
14,7,4.625345,317430
14,8,1.645974,16
15,1,0.00505,11
15,2,0.109532,48
15,3,0.009024,48
15,4,0.015246,2244
15,5,2.743002,340705
15,6,1.835122,340705
15,7,4.580783,325450
15,8,1.48961,5
